hue,saturation,value,skin_tone
16.052,90.3884,177.4612,fair
11.3157,103.6388,204.9113,fair
10.2226,80.6575,233.8711,fair
12.7613,101.3136,207.1225,fair
13.0709,106.57,177.2106,fair
44.4286,38.0367,219.8726,fair
14.8397,55.564,188.1553,fair
19.383,42.9441,237.2041,fair
21.5058,54.7307,217.567,fair
29.5205,29.6602,214.0794,fair
26.7094,74.1532,172.8921,fair
14.9771,87.7754,220.0621,fair
12.4009,147.6353,207.1878,fair
13.6555,59.3194,180.8342,fair
14.4501,45.7549,218.912,fair
18.3944,83.0641,184.2791,fair
11.549,93.606,183.5256,fair
20.1349,88.3755,229.5418,fair
73.1623,44.3188,189.1458,fair
22.6768,79.6893,194.7919,fair
15.1175,50.9744,184.9693,fair
11.9234,111.574,157.827,fair
87.081,65.6007,143.4969,fair
56.7671,78.9381,134.539,fair
27.8726,54.8115,149.0634,fair
15.6885,94.849,215.1615,fair
10.1517,63.205,224.9098,fair
38.4012,38.4545,207.485,fair
35.7765,34.5152,234.9289,fair
14.108,70.843,130.3095,fair
15.3248,81.5923,190.9855,fair
8.6303,73.4116,197.192,fair
13.3787,54.5821,228.8322,fair
49.8555,41.7336,226.7586,fair
34.5619,71.0769,176.1683,fair
9.6374,40.3277,235.7871,fair
12.7402,58.1307,200.0412,fair
13.1019,47.8782,224.8256,fair
19.6349,73.73,213.7237,fair
11.0833,84.469,231.7311,fair
26.1391,63.3934,200.1323,fair
48.0769,39.6892,229.109,fair
12.9688,70.9086,212.2861,fair
18.564,50.7242,221.8211,fair
13.6776,116.956,219.0376,fair
21.1748,99.5673,151.1852,fair
22.2387,67.6347,159.167,fair
13.6461,67.8849,219.9834,fair
42.1961,69.3579,196.608,fair
11.1624,94.8787,202.4559,fair
17.6023,103.6241,152.59,fair
27.5411,69.6157,177.1048,fair
13.8885,78.7594,217.6877,fair
13.4575,81.1253,207.2741,fair
81.369,48.6526,163.2431,fair
15.3054,73.003,215.345,fair
12.9851,66.6139,223.4507,fair
12.859,64.7941,230.0649,fair
8.5084,56.8577,196.5039,fair
11.0363,51.1562,197.7122,fair
13.2256,85.7883,227.9293,fair
9.3997,52.8583,233.9204,fair
32.243,77.5624,199.196,fair
82.6847,56.1873,215.9158,fair
17.1395,102.8115,137.9606,fair
28.6567,72.0294,199.3445,fair
11.3328,53.1221,207.9181,fair
15.1162,81.7357,179.5913,fair
15.0564,98.8356,205.243,fair
27.0743,61.0941,191.0625,fair
17.4366,49.6747,205.0917,fair
16.1705,55.8223,219.5647,fair
15.3241,76.7839,214.6615,fair
59.7162,41.5511,215.3356,fair
15.8276,47.0572,208.2203,fair
12.4025,77.9103,226.6905,fair
17.0961,100.8965,154.3325,fair
25.0675,92.7855,146.2041,fair
17.2226,105.3645,203.1711,fair
24.3581,75.8919,180.7369,fair
17.7339,108.4717,138.113,fair
14.7834,83.0547,144.9434,fair
18.0857,74.7643,161.9059,fair
22.8028,49.5338,168.2846,fair
28.7426,100.4129,136.6711,fair
13.0597,96.4667,135.9105,fair
12.3032,96.8806,141.0809,fair
21.2963,57.0088,135.5133,fair
25.1985,72.4206,148.8926,fair
20.9991,107.4381,118.9491,fair
30.0069,97.9336,164.3157,fair
11.5271,98.7687,175.446,fair
28.9531,59.1441,153.902,fair
19.1123,129.5229,124.139,fair
16.9769,70.1158,213.8418,fair
13.9708,111.7939,152.5549,fair
